newsIDs,ratios,invisible_by_news,visible_by_news
895396,0.4594594594594595,17.0,37.0
910200,0.4583333333333333,11.0,24.0
814389,0.4583333333333333,11.0,24.0
894627,0.4583333333333333,11.0,24.0
845836,0.45714285714285713,32.0,70.0
897983,0.45454545454545453,5.0,11.0
917772,0.45454545454545453,5.0,11.0
882733,0.45454545454545453,5.0,11.0
892319,0.45454545454545453,5.0,11.0
944330,0.45454545454545453,5.0,11.0
823904,0.45454545454545453,5.0,11.0
855495,0.45454545454545453,5.0,11.0
766525,0.45454545454545453,5.0,11.0
851035,0.45454545454545453,10.0,22.0
833363,0.45454545454545453,10.0,22.0
815212,0.45454545454545453,5.0,11.0
855006,0.45454545454545453,5.0,11.0
880899,0.45454545454545453,5.0,11.0
832878,0.45454545454545453,5.0,11.0
836840,0.45454545454545453,5.0,11.0
924723,0.45454545454545453,5.0,11.0
858454,0.4507042253521127,32.0,71.0
823609,0.4506329113924051,178.0,395.0
805661,0.45,9.0,20.0
916721,0.45,9.0,20.0
861202,0.45,9.0,20.0
803292,0.45,27.0,60.0
891315,0.45,9.0,20.0
847177,0.45,9.0,20.0
862793,0.45,18.0,40.0
846390,0.449438202247191,40.0,89.0
786399,0.4482758620689655,26.0,58.0
900133,0.4444444444444444,8.0,18.0
894264,0.4444444444444444,12.0,27.0
813161,0.4444444444444444,4.0,9.0
799237,0.4444444444444444,4.0,9.0
852231,0.4444444444444444,8.0,18.0
887052,0.4444444444444444,4.0,9.0
871775,0.4444444444444444,4.0,9.0
902413,0.4444444444444444,4.0,9.0
785629,0.4444444444444444,4.0,9.0
844899,0.4444444444444444,4.0,9.0
891028,0.4444444444444444,4.0,9.0
873967,0.4444444444444444,8.0,18.0
831661,0.4444444444444444,4.0,9.0
933816,0.4444444444444444,4.0,9.0
814615,0.4444444444444444,4.0,9.0
886448,0.4444444444444444,4.0,9.0
864080,0.4444444444444444,4.0,9.0
903527,0.4444444444444444,12.0,27.0
918493,0.4444444444444444,4.0,9.0
792700,0.4444444444444444,4.0,9.0
790230,0.4444444444444444,4.0,9.0
848624,0.4444444444444444,4.0,9.0
879980,0.4444444444444444,4.0,9.0
844234,0.4444444444444444,8.0,18.0
854019,0.4444444444444444,4.0,9.0
840292,0.4444444444444444,8.0,18.0
857364,0.4444444444444444,4.0,9.0
891215,0.4444444444444444,4.0,9.0
822745,0.4444444444444444,4.0,9.0
834700,0.4444444444444444,4.0,9.0
840614,0.4444444444444444,4.0,9.0
859633,0.4444444444444444,4.0,9.0
894056,0.4444444444444444,8.0,18.0
923457,0.4444444444444444,4.0,9.0
898442,0.4444444444444444,4.0,9.0
932377,0.4444444444444444,8.0,18.0
927231,0.4444444444444444,8.0,18.0
912597,0.4444444444444444,4.0,9.0
822384,0.4411764705882353,15.0,34.0
909159,0.44,11.0,25.0
819800,0.44,11.0,25.0
824312,0.44,11.0,25.0
841130,0.44,11.0,25.0
821489,0.44,11.0,25.0
906291,0.43902439024390244,54.0,123.0
935420,0.43902439024390244,54.0,123.0
811834,0.4375,7.0,16.0
789347,0.4375,7.0,16.0
858439,0.4375,14.0,32.0
818498,0.4375,7.0,16.0
766423,0.4375,7.0,16.0
846224,0.43478260869565216,10.0,23.0
823321,0.43478260869565216,20.0,46.0
818079,0.43333333333333335,13.0,30.0
811812,0.431858407079646,244.0,565.0
790341,0.43089430894308944,53.0,123.0
895321,0.4298642533936652,95.0,221.0
823045,0.42857142857142855,3.0,7.0
814106,0.42857142857142855,3.0,7.0
813046,0.42857142857142855,3.0,7.0
884163,0.42857142857142855,3.0,7.0
858954,0.42857142857142855,6.0,14.0
895381,0.42857142857142855,3.0,7.0
804153,0.42857142857142855,3.0,7.0
851025,0.42857142857142855,9.0,21.0
